_id,Perusahaan,Hilang Upaya Bagi Lelaki,Maut bagi Lelaki,Hilang Upaya bagi Perempuan,Maut bagi Perempuan
1,"Pertanian, Perikanan dan Perhutanan",1189,27,291,4
2,Perlombongan dan Pengkuarian,260,6,23,0
3,Pembuatan,9506,129,2620,21
4,"Perkhidmatan Elektrik, Gas, Air dan Kebersihan",582,6,64,0
5,Pembinaan,4731,83,948,10
6,Perdagangan,5367,78,1407,7
7,Penginapan dan Aktiviti Perkhidmatan Makanan dan Minuman,1014,13,405,1
8,Pengangkutan dan Penyimpanan,2434,35,282,0
9,Aktiviti Kewangan dan Insurans/Takaful,807,5,531,1
10,"Aktiviti Hartanah, Penyewaan dan Perniagaan",3170,42,762,7
11,Pentadbiran Awam dan Pertahanan/Aktiviti Keselamatan Wajib,11377,200,3195,14
